Fecha,idCerveza,NombreCerveza,Precio,CantidadVendida,Ganancia
01/01/2022,1,Black Heart,8.56,81,693.36
01/01/2022,2,Fools Gold,8.07,95,766.65
01/01/2022,3,Cold Beer B,7.05,58,408.9
01/01/2022,4,Lost Lager,7.23,83,600.09
01/01/2022,5,King Crush,8.29,22,182.38
01/01/2022,6,Wingman Tro,7.55,57,430.35
01/01/2022,7,Grind Stout,7.86,10,78.6
01/01/2022,8,Juice Shack,8.31,93,772.83
01/01/2022,9,Rocky Road,8.4,63,529.2
01/01/2022,10,Wingman,8.34,8,66.72
01/01/2022,11,Arcade Made,8.82,98,864.36
01/01/2022,12,Punk IPA,7.81,13,101.53
01/01/2022,13,Hazy Jane,8.46,84,710.64
01/01/2022,14,Shore Leave,7.74,27,208.98
01/01/2022,15,Simcoe Solo,7.29,48,349.92
01/01/2022,16,Lucky Break,8.37,0,0
02/01/2022,1,Black Heart,8.56,64,547.84
02/01/2022,2,Fools Gold,8.07,42,338.94
02/01/2022,3,Cold Beer B,7.05,66,465.3
02/01/2022,4,Lost Lager,7.23,78,563.94
02/01/2022,5,King Crush,8.29,82,679.78
02/01/2022,6,Wingman Tro,7.55,9,67.95
02/01/2022,7,Grind Stout,7.86,7,55.02
02/01/2022,8,Juice Shack,8.31,84,698.04
02/01/2022,9,Rocky Road,8.4,93,781.2
02/01/2022,10,Wingman,8.34,4,33.36
02/01/2022,11,Arcade Made,8.82,44,388.08
02/01/2022,12,Punk IPA,7.81,31,242.11
02/01/2022,13,Hazy Jane,8.46,63,532.98
02/01/2022,14,Shore Leave,7.74,11,85.14
02/01/2022,15,Simcoe Solo,7.29,74,539.46
02/01/2022,16,Lucky Break,8.37,55,460.35
03/01/2022,1,Black Heart,8.56,39,333.84
03/01/2022,2,Fools Gold,8.07,2,16.14
03/01/2022,3,Cold Beer B,7.05,38,267.9
03/01/2022,4,Lost Lager,7.23,92,665.16
03/01/2022,5,King Crush,8.29,56,464.24
03/01/2022,6,Wingman Tro,7.55,87,656.85
03/01/2022,7,Grind Stout,7.86,84,660.24
03/01/2022,8,Juice Shack,8.31,55,457.05
03/01/2022,9,Rocky Road,8.4,73,613.2
03/01/2022,10,Wingman,8.34,10,83.4
03/01/2022,11,Arcade Made,8.82,44,388.08
03/01/2022,12,Punk IPA,7.81,64,499.84
03/01/2022,13,Hazy Jane,8.46,83,702.18
03/01/2022,14,Shore Leave,7.74,37,286.38
03/01/2022,15,Simcoe Solo,7.29,87,634.23
03/01/2022,16,Lucky Break,8.37,27,225.99
04/01/2022,1,Black Heart,8.56,22,188.32
04/01/2022,2,Fools Gold,8.07,43,347.01
04/01/2022,3,Cold Beer B,7.05,91,641.55
04/01/2022,4,Lost Lager,7.23,36,260.28
04/01/2022,5,King Crush,8.29,94,779.26
04/01/2022,6,Wingman Tro,7.55,18,135.9
04/01/2022,7,Grind Stout,7.86,30,235.8
04/01/2022,8,Juice Shack,8.31,17,141.27
04/01/2022,9,Rocky Road,8.4,27,226.8
04/01/2022,10,Wingman,8.34,77,642.18
04/01/2022,11,Arcade Made,8.82,71,626.22
04/01/2022,12,Punk IPA,7.81,50,390.5
04/01/2022,13,Hazy Jane,8.46,74,626.04
04/01/2022,14,Shore Leave,7.74,97,750.78
04/01/2022,15,Simcoe Solo,7.29,2,14.58
04/01/2022,16,Lucky Break,8.37,98,820.26
05/01/2022,1,Black Heart,8.56,24,205.44
05/01/2022,2,Fools Gold,8.07,73,589.11
05/01/2022,3,Cold Beer B,7.05,31,218.55
05/01/2022,4,Lost Lager,7.23,77,556.71
05/01/2022,5,King Crush,8.29,3,24.87
05/01/2022,6,Wingman Tro,7.55,52,392.6
05/01/2022,7,Grind Stout,7.86,74,581.64
05/01/2022,8,Juice Shack,8.31,86,714.66
05/01/2022,9,Rocky Road,8.4,15,126
05/01/2022,10,Wingman,8.34,82,683.88
05/01/2022,11,Arcade Made,8.82,77,679.14
05/01/2022,12,Punk IPA,7.81,48,374.88
05/01/2022,13,Hazy Jane,8.46,34,287.64
05/01/2022,14,Shore Leave,7.74,8,61.92
05/01/2022,15,Simcoe Solo,7.29,16,116.64
05/01/2022,16,Lucky Break,8.37,16,133.92
06/01/2022,1,Black Heart,8.56,5,42.8
06/01/2022,2,Fools Gold,8.07,39,314.73
06/01/2022,3,Cold Beer B,7.05,22,155.1
06/01/2022,4,Lost Lager,7.23,83,600.09
06/01/2022,5,King Crush,8.29,82,679.78
06/01/2022,6,Wingman Tro,7.55,23,173.65
06/01/2022,7,Grind Stout,7.86,49,385.14
06/01/2022,8,Juice Shack,8.31,37,307.47
06/01/2022,9,Rocky Road,8.4,10,84
06/01/2022,10,Wingman,8.34,65,542.1
06/01/2022,11,Arcade Made,8.82,74,652.68
06/01/2022,12,Punk IPA,7.81,96,749.76
06/01/2022,13,Hazy Jane,8.46,38,321.48
06/01/2022,14,Shore Leave,7.74,20,154.8
06/01/2022,15,Simcoe Solo,7.29,92,670.68
06/01/2022,16,Lucky Break,8.37,72,602.64
07/01/2022,1,Black Heart,8.56,64,547.84
07/01/2022,2,Fools Gold,8.07,71,572.97
07/01/2022,3,Cold Beer B,7.05,16,112.8
07/01/2022,4,Lost Lager,7.23,2,14.46
07/01/2022,5,King Crush,8.29,97,804.13
07/01/2022,6,Wingman Tro,7.55,86,649.3
07/01/2022,7,Grind Stout,7.86,68,534.48
07/01/2022,8,Juice Shack,8.31,41,340.71
07/01/2022,9,Rocky Road,8.4,67,562.8
07/01/2022,10,Wingman,8.34,42,350.28
07/01/2022,11,Arcade Made,8.82,62,546.84
07/01/2022,12,Punk IPA,7.81,40,312.4
07/01/2022,13,Hazy Jane,8.46,36,304.56
07/01/2022,14,Shore Leave,7.74,21,162.54
07/01/2022,15,Simcoe Solo,7.29,89,648.81
07/01/2022,16,Lucky Break,8.37,53,443.61
08/01/2022,1,Black Heart,8.56,27,231.12
08/01/2022,2,Fools Gold,8.07,41,330.87
08/01/2022,3,Cold Beer B,7.05,99,697.95
08/01/2022,4,Lost Lager,7.23,37,267.51
08/01/2022,5,King Crush,8.29,5,41.45
08/01/2022,6,Wingman Tro,7.55,22,166.1
08/01/2022,7,Grind Stout,7.86,82,644.52
08/01/2022,8,Juice Shack,8.31,59,490.29
08/01/2022,9,Rocky Road,8.4,36,302.4
08/01/2022,10,Wingman,8.34,42,350.28
08/01/2022,11,Arcade Made,8.82,91,802.62
08/01/2022,12,Punk IPA,7.81,30,234.3
08/01/2022,13,Hazy Jane,8.46,11,93.06
08/01/2022,14,Shore Leave,7.74,38,294.12
08/01/2022,15,Simcoe Solo,7.29,33,240.57
08/01/2022,16,Lucky Break,8.37,64,535.68
09/01/2022,1,Black Heart,8.56,45,385.2
09/01/2022,2,Fools Gold,8.07,76,613.32
